"CÓD. MEGA","NOME","PART. %",30/12/20,2019
"TIET11","AES TIETE E","1,002","2,45","10,18"
"BTOW3","B2W DIGITAL","2,006","7,40","20,69"
"BBDC3","BRADESCO","0,296","13,3","-20,04"
"BBDC4","BRADESCO","1,128","13,18","-15,53"
"BBAS3","BRASIL","0,486","14,89","-24,04"
"BRKM5","BRASKEM","1,788","4,29","-21,04"
"BRFS3","BRF SA","5,129","0,05","-37,39"
"CCRO3","CCR SA","4,309","3,30","-26,28"
"CMIG3","CEMIG","0,787","15,82","12,49"
"CMIG4","CEMIG","2,836","15,28","12,98"
"CIEL3","CIELO","1,275","14,09","-51,45"
"CPLE3","COPEL","0,844","11,06","4,75"
"CPLE6","COPEL","1,931","13,7","12,38"
"DTEX3","DURATEX","1,500","3,40","16,14"
"ECOR3","ECORODOVIAS","0,656","11,14","-17,98"
"ELET3","ELETROBRAS","2,637","18,06","1,12"
"ELET6","ELETROBRAS","1,784","15,63","1,19"
"ENBR3","ENERGIAS BR","1,161","5,93","-8,64"
"EGIE3","ENGIE BRASIL","2,249","5,81","-10,2"
"FLRY3","FLEURY","2,353","1,73","-9,34"
"NTCO3","GRUPO NATURA","12,661","4,15","35,77"
"ITSA4","ITAUSA","0,517","11,92","-12,56"
"ITUB3","ITAUUNIBANCO","0,105","8,70","-9,05"
"ITUB4","ITAUUNIBANCO","1,468","11,00","-11,43"
"KLBN11","KLABIN S/A","4,842","5,54","43,94"
"LIGT3","LIGHT S/A","1,484","4,74","2,27"
"LAME3","LOJAS AMERIC","0,634","10,90","3,87"
"LAME4","LOJAS AMERIC","2,797","14,65","1,51"
"LREN3","LOJAS RENNER","4,357","-2,41","-21,99"
"MOVI3","MOVIDA","0,782","5,25","8,62"
"MRVE3","MRV","1,623","0,11","-10,36"
"BRDT3","PETROBRAS BR","7,391","9,57","-23,51"
"SANB11","SANTANDER BR","0,156","14,51","-3,60"
"VIVT3","TELEF BRASIL","5,534","5,85","-12,53"
"TIMS3","TIM","3,395","10,16","-3,34"
"WEGE3","WEG","16,094","2,99","120,19"
